Token,Frequency,Synonyms
woman,46,"['woman', 'elizabeth', 'hostile', 'char', 'cleaning_lady', 'kamala', 'revolution', 'senate', 'hilary', 'rachel', 'misandry', 'sex', 'inferiority', 'fair_sex', 'sexism', 'charwoman', 'femin', 'misogyny', 'catherine', 'leader', 'feminist', 'levine', 'womanhood', 'victim', 'congress', 'halaand', 'harris', 'cleaning_woman', 'girl', 'cortez', 'gender', 'deb', 'equal', 'benevolent', 'empower', 'patriarchy', 'adult_female', 'history', 'women', 'power', 'right', 'clinton']"
world,46,"['world', 'globe', 'human_race', 'macrocosm', 'worldly_concern', 'domain', 'creation', 'humanity', 'earthly_concern', 'public', 'existence', 'human_beings', 'humans', 'earth', 'cosmos', 'Earth', 'mankind', 'reality', 'world-wide', 'man', 'humankind', 'universe', 'global', 'planetary', 'populace', 'worldwide']"
week,45,"['week', 'workweek', 'calendar_week', 'hebdomad']"
voted,45,"['voted', 'chairwoman', 'chairman', 'chairperson', 'President', 'President_of_the_United_States', 'United_States_President', 'Chief_Executive', 'prexy', 'vote', 'president', 'chair']"
realdonaldtrump,45,"['realdonaldtrump', 'campaign', 'bully', 'United_States_President', 'President_of_the_United_States', 'vote', 'chair', 'minister', 'coattail', 'white', 'chairperson', 'house', 'election', 'state', 'bleeding', 'balance', 'politic', 'trump', 'government', 'caucus', 'nominee', 'donald', 'prexy', 'bipartisan', 'party', 'president', 'gov', 'Chief_Executive', 'senator', 'majority', 'outflank', 'delegate', 'primary', 'poll', 'checks', 'prim', 'pulpit', 'platform', 'heart', 'silent', 'chairman']"
potus,45,['potus']
come,44,"['come', 'fall', 'number', 'derive', 'occur', 'follow', 'fare', 'arrive', 'get', 'seminal_fluid', 'ejaculate', 'total', 'semen', 'issue_forth', 'seed', 'hail', 'add_up', 'descend', 'cum', 'come_up', 'make_out', 'do', 'come_in', 'amount', 'get_along']"
life,44,"['life', 'life_sentence', 'sprightliness', 'life-time', 'lifespan', 'lifetime', 'biography', 'life_history', 'living', 'life_story', 'animation', 'aliveness', 'spirit', 'liveliness']"
plan,44,"['plan', 'programme', 'project', 'contrive', 'program', 'design', 'architectural_plan', 'be_after']"
capitol,44,"['capitol', 'Capitol', 'Capitol_Building']"
give,44,"['give', 'pay', 'return', 'chip_in', 'consecrate', 'present', 'devote', 'move_over', 'pass', 'hold', 'springiness', 'turn_over', 'contribute', 'open', 'render', 'sacrifice', 'feed', 'founder', 'commit', 'leave', 'make', 'pass_on', 'hand', 'cave_in', 'afford', 'gift', 'yield', 'apply', 'dedicate', 'collapse', 'reach', 'establish', 'kick_in', 'generate', 'fall_in', 'spring', 'ease_up', 'have', 'grant', 'throw', 'break', 'give_way', 'impart']"
stats,44,"['stats', 'statistics']"
tweet,43,"['tweet', 'twinge', 'squeeze', 'nip', 'twirp', 'pinch', 'twitch']"
hope,43,"['hope', 'go_for', 'Hope', 'desire', 'Bob_Hope', 'promise', 'Leslie_Townes_Hope', 'trust']"
stop,42,"['stop', 'catch', 'full_point', 'turn_back', 'contain', 'give_up', 'arrest', 'occlusive', 'end', 'blockade', 'bar', 'terminate', 'cease', 'occlusion', 'stop_over', 'halt', 'blockage', 'stopover', 'diaphragm', 'kibosh', 'hold_on', 'block', 'intercept', 'full_stop', 'period', 'finish', 'point', 'break_off', 'quit', 'closure', 'block_up', 'barricade', 'layover', 'stoppage', 'hold_back', 'plosive', 'lay_off', 'stay', 'plosive_consonant', 'stop_consonant', 'break', 'discontinue', 'hitch', 'check', 'block_off', 'plosive_speech_sound']"
country,42,"['country', 'area', 'nation', 'res_publica', 'commonwealth', 'land', 'body_politic', 'rural_area', 'state']"
china,41,"['china', 'Cathay', 'chinaware\', ""People\'s_Republic_of_China"", \'mainland_China', 'Republic_of_China', 'China', 'Red_China', 'Nationalist_China', 'Taiwan', 'Communist_China', 'PRC']"
white,41,"['white', 'Stanford_White', 'albumen', 'clean', 'gabardine', 'Edward_White', 'snowy', 'livid', 'Theodore_Harold_White', 'Edward_D._White', 'E._B._White', 'blanched', 'White', 'White_person', 'whiten', 'Patrick_Victor_Martindale_White', 'whiteness', 'T._H._White', 'bloodless', 'whitened', 'Andrew_D._White', 'Andrew_Dickson_White', 'Patrick_White', 'lily-white', 'blank', 'ashen', 'White_River', 'Edward_Douglas_White_Jr.', 'egg_white', 'tweed', 'Caucasian', 'Elwyn_Brooks_White', 'white-hot', 'flannel', 'ovalbumin']"
free,41,"['free', 'exempt', 'unblock', 'gratis', 'absolve', 'costless', 'relinquish', 'give_up', 'spare', 'gratuitous', 'liberate', 'complimentary', 'loose', 'barren', 'disembarrass', 'justify', 'destitute', 'rid', 'free_people', 'unfreeze', 'innocent', 'liberal', 'disengage', 'release', 'dislodge', 'detached', 'relieve', 'unloosen', 'discharge', 'devoid', 'unloose', 'resign']"
support,41,"['support', 'financial_support', 'hold', 'hold_up', 'patronise', 'tolerate', 'accompaniment', 'defend', 'supporting', 'plunk_for', 'back', 'reinforcement', 'underpin', 'backup', 'bear', 'digest', 'musical_accompaniment', 'patronage', 'put_up', 'endorse', 'endure', 'bear_out', 'stick_out', 'funding', 'substantiate', 'keep', 'financial_backing', 'keep_going', 'documentation', 'living', 'stomach', 'brook', 'back_up', 'stand', 'corroborate', 'abide', 'sustain', 'patronize', 'sustenance', 'plump_for', 'indorse', 'fend_for', 'suffer', 'bread_and_butter', 'livelihood', 'subscribe', 'affirm', 'reenforcement', 'confirm', 'backing']"
believe,41,"['believe', 'conceive', 'trust', 'think', 'consider']"
could,41,"['could', 'can', 'able']"
follow,41,"['follow', 'observe', 'fall_out', 'comply', 'surveil', 'watch', 'abide_by', 'conform_to', 'keep_up', 'come', 'play_along', 'adopt', 'pursue', 'espouse', 'take_after', 'travel_along', 'stick_to', 'postdate', 'keep_abreast', 'be', 'survey', 'keep_an_eye_on', 'stick_with', 'watch_over', 'trace', 'accompany', 'succeed', 'come_after']"
report,40,"['report', 'cover', 'describe', 'composition', 'account', 'story', 'paper', 'theme', 'write_up', 'news_report', 'written_report', 'report_card', 'reputation', 'study']"
start,40,"['start', 'come_out', 'showtime', 'outset', 'bulge_out', 'jump', 'first', 'set_off', 'get_down', 'initiate', 'starting_signal', 'set_about', 'beginning', 'scratch', 'bug_out', 'set_out', 'starting_line', 'part', 'originate', 'bulge', 'set_forth', 'go', 'commence', 'starting', 'protrude', 'take_off', 'pop_out', 'get_going', 'scratch_line', 'head_start', 'lead_off', 'offset', 'take_up', 'depart', 'start_up', 'get-go', 'commencement', 'startle', 'pop', 'starting_time', 'get', 'begin', 'kickoff', 'start_out', 'embark_on']"
impeachment,40,['impeachment']
office,40,"['office', 'part', 'berth', 'office_staff', 'spot', 'bureau', 'government_agency', 'power', 'agency', 'function', 'federal_agency', 'authority', 'place', 'business_office', 'position', 'post', 'role', 'billet', 'situation']"
directioners,40,"['directioners', 'direction', 'guide']"
nothing,39,"['nothing', 'nada', 'null', 'nil', 'aught', 'cypher', 'zip', 'goose_egg', 'nix', 'zilch', 'zero', 'zippo', 'cipher', 'naught']"
thought,39,"['thought', 'mentation', 'recollect', 'suppose', 'cerebrate', 'view', 'conceive', 'consider', 'guess', 'retrieve', 'imagine', 'recall', 'intend', 'intellection', 'reckon', 'persuasion', 'cerebration', 'think', 'mean', 'remember', 'call_back', 'sentiment', 'idea', 'cogitate', 'thought_process', 'call_up', 'opinion', 'believe', 'opine', 'thinking']"
ever,38,"['ever', 'of_all_time\', ""e\'er"", \'always', 'ever_so']"
word,38,"['word', 'Good_Book', 'formulate', 'watchword', 'phrase', 'Holy_Writ', 'news', 'Book', 'Bible', 'word_of_honor', 'give-and-take', 'intelligence', 'articulate', 'Holy_Scripture', 'password', 'give_voice', 'Word', 'Son', 'Logos', 'Christian_Bible', 'parole', 'Word_of_God', 'discussion', 'tidings', 'countersign', 'Scripture']"
family,38,"['family', 'rachel', 'class', 'harris', 'patriarchy', 'deb', 'hostile', 'history', 'kin', 'sexism', 'home', 'hilary', 'victim', 'category', 'household', 'femin', 'empower', 'women', 'right', 'sept', 'fellowship', 'phratry', 'kamala', 'syndicate', 'mob', 'senate', 'catherine', 'misogyny', 'sex', 'kinsperson', 'house', 'feminist', 'folk', 'inferiority', 'halaand', 'gender', 'menage', 'misandry', 'family_unit', 'kinfolk', 'equal', 'clinton', 'power', 'congress', 'elizabeth', 'cortez', 'girl', 'levine', 'crime_syndicate', 'leader', 'kinsfolk', 'revolution', 'benevolent', 'family_line']"
already,38,['already']
message,38,"['message', 'content', 'subject_matter', 'substance']"
better,38,"['better', 'break', 'proficient', 'good', 'punter', 'skillful', 'estimable', 'salutary', 'adept', 'dependable', 'bettor', 'well', 'ameliorate', 'meliorate', 'practiced', 'amend', 'unspoilt', 'secure', 'wagerer', 'dear', 'effective', 'full', 'skilful', 'intimately', 'in_effect', 'honest', 'right', 'just', 'serious', 'honorable', 'improve', 'easily', 'unspoiled', 'best', 'expert', 'advantageously', 'beneficial', 'in_force', 'near', 'safe', 'ripe', 'upright', 'undecomposed', 'substantially', 'sound', 'comfortably', 'respectable', 'considerably']"
political,37,"['political', 'President_of_the_United_States', 'president', 'President', 'chairperson', 'chair', 'chairwoman', 'chairman', 'Chief_Executive', 'United_States_President', 'prexy']"
everyone,37,"['everyone', 'everybody', 'all_of_you', 'all']"
business,37,"['business', 'business_enterprise', 'business_sector', 'commercial_enterprise', 'business_organization', 'clientele', 'business_concern', 'byplay', 'job', 'concern', 'business_organisation', 'line', 'stage_business', 'line_of_work', 'occupation', 'patronage']"
mask,36,"['mask', 'covid19', 'patient', '19', 'cloak', 'presymptomatic', 'spread', 'covid', 'outbreak', 'ventilator', 'dissemble', 'herd', 'coronavirus', 'novel', 'anti', 'immunity', 'vaccin', 'asymptomatic', 'isolation', 'incubation', 'pathogen', 'anti-body', 'strain', 'block_out', 'n95', 'quarantine', 'masquerade_party', 'distan', 'disguise', 'condition', 'body', 'masquerade', 'masque', 'underlying', 'epidemic']"
